Phase,PotPcnt,StackPcnt,BetPcnt,AvgBetAmt,BetAmtStdDev,AIPcnt,FoldPcnt,AvgFoldAmt
PREFLOP,LOW,LOW,0.45,255.55555555555554,215.30913750084557,0.0,0.75,240.0
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.3333333333333333,400.0,0.0,0.0,0.6666666666666666,287.5
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.0,0.0,0.0,0.0,1.0,2800.0
PREFLOP,LOW,MEDIUM,0.0,0.0,0.0,0.0,1.0,371.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,7.75,13.423393758658799,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.28125,232.77777777777777,278.6785395308755,0.0,0.78125,484.04
PREFLOP,LOW,MEDIUM,1.0,740.0,1048.0458005259122,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.75,133.33333333333334,47.14045207910317,0.0,0.25,50.0
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.5454545454545454,705.3333333333334,556.1854207206642,0.0,0.45454545454545453,490.0
RIVER,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,105.0
PREFLOP,LOW,LOW,0.4,279.0,172.40359625019428,0.0,0.6,33.333333333333336
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.5882352941176471,1392.6,841.0783792251469,0.0,0.4117647058823529,1316.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,HIGH,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,567.5,1483.5788654466603,0.0,0.0,0.0
RIVER,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,0.75,0.0,0.0,0.0,0.25,3237.0
FLOP,LOW,LOW,0.8823529411764706,236.0,513.3004318460421,0.0,0.17647058823529413,391.6666666666667
PREFLOP,LOW,LOW,0.363013698630137,734.9811320754717,1097.4411316238566,0.0,0.7328767123287672,791.626168224299
RIVER,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.6666666666666666,187.25,162.2272711352811,0.0,0.3333333333333333,45.0
TURN,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,1.0,100.0
PREFLOP,LOW,LOW,0.3170731707317073,728.4615384615385,1990.677681880242,0.0,0.7317073170731707,544.9333333333333
FLOP,LOW,LOW,0.8333333333333334,190.0,272.7636339397171,0.0,0.16666666666666666,600.0
PREFLOP,LOW,HIGH,0.8333333333333334,112.0,39.191835884530846,0.0,0.16666666666666666,80.0
PREFLOP,LOW,MEDIUM,0.5,1000.0,800.0,0.0,0.5,775.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.5,150.0,0.0,0.0,0.5,100.0
RIVER,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.16666666666666666,200.0,0.0,0.0,0.8333333333333334,406.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.36507936507936506,241.56521739130434,237.0204221777114,0.0,0.7301587301587301,414.5652173913044
PREFLOP,LOW,HIGH,0.75,416.6666666666667,539.8044913567215,0.0,0.25,200.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,106.25,132.72975363497062,0.0,0.0,0.0
PREFLOP,LOW,LOW,1.0,467.85714285714283,485.26765179388474,0.0,0.0,0.0
PREFLOP,LOW,LOW,1.0,800.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.25,400.0,0.0,0.0,0.75,116.66666666666667
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,0.75,0.0,0.0,0.0,0.5,1650.0
PREFLOP,LOW,LOW,0.4166666666666667,1021.2,1229.459214451622,0.0,0.75,1017.3333333333334
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.75,667.0833333333334,521.3667068921409,0.0,0.375,253.33333333333334
FLOP,LOW,HIGH,1.0,0.0,0.0,0.0,0.0,0.0
