Player	Phase	Pot%	Stack%	Check%	Bet%	Call%	Raise%	AvgBetAmt	AvgBetStdDev	AllIn%	Fold%	AvgFoldAmt
d	d	d	d	c	c	c	c	c	c	c	c	c
													
^TGP^	FLOP	HIGH	LOW	0.7500	0.0625	0.1250	0.0000	0.0320	0.0133	0.0000	0.0625	0.0084
^TGP^	TURN	LOW	LOW	0.7143	0.0714	0.1429	0.0000	0.0092	0.0024	0.0000	0.0714	0.0078
^TGP^	PREFLOP	LOW	MEDIUM	0.1923	0.4615	0.1538	0.0385	0.0565	0.0827	0.0000	0.3462	0.0330
^TGP^	TURN	HIGH	MEDIUM	0.7273	0.0000	0.1818	0.0000	0.2203	0.0568	0.0000	0.0909	0.0824
^TGP^	PREFLOP	LOW	HIGH	0.2857	0.6667	0.0000	0.1429	0.0886	0.1503	0.0000	0.0952	0.0150
^TGP^	RIVER	HIGH	LOW	0.5625	0.1250	0.3125	0.0000	0.0539	0.0303	0.0000	0.0000	0.0000
^TGP^	FLOP	HIGH	MEDIUM	0.6757	0.0541	0.1351	0.0000	0.0457	0.0700	0.0000	0.1622	0.0430
^TGP^	FLOP	MEDIUM	MEDIUM	0.6818	0.0000	0.1364	0.0455	0.0232	0.0107	0.0000	0.1364	0.0073
^TGP^	PREFLOP	LOW	LOW	0.1120	0.3780	0.0900	0.0220	0.0133	0.0196	0.0000	0.6720	0.0196
^TGP^	RIVER	LOW	LOW	0.6667	0.1667	0.1667	0.0000	0.0167	0.0214	0.0000	0.0556	0.0151
^TGP^	TURN	MEDIUM	LOW	0.5833	0.1667	0.3333	0.0000	0.0232	0.0176	0.0000	0.0833	0.0034
JTbot	PREFLOP	LOW	LOW	0.0800	0.1200	0.0800	0.1200	0.0228	0.0248	0.0000	0.6800	0.0235
no_life	FLOP	HIGH	MEDIUM	0.7143	0.2143	0.0714	0.0000	0.0665	0.0534	0.0000	0.0000	0.0000
no_life	PREFLOP	LOW	LOW	0.0756	0.3445	0.1261	0.0462	0.0138	0.0216	0.0000	0.6765	0.0290
UncleMeat	PREFLOP	LOW	LOW	0.1304	0.4783	0.3478	0.1304	0.0181	0.0243	0.0000	0.3478	0.0321
Kurtz	PREFLOP	LOW	LOW	0.0217	0.3261	0.1522	0.0435	0.0112	0.0139	0.0000	0.7391	0.0135
kman	TURN	HIGH	LOW	0.7273	0.0000	0.1818	0.0000	0.0509	0.0033	0.0000	0.0909	0.0247
kman	FLOP	HIGH	LOW	0.6667	0.2500	0.0833	0.0000	0.0316	0.0072	0.0000	0.0000	0.0000
kman	TURN	LOW	LOW	0.5000	0.0000	0.3750	0.0625	0.0104	0.0084	0.0000	0.0625	0.0055
kman	PREFLOP	LOW	MEDIUM	0.2174	0.6522	0.2174	0.0870	0.0763	0.0962	0.0000	0.2174	0.0421
kman	TURN	HIGH	MEDIUM	0.9286	0.0000	0.0714	0.0000	0.0561	0.0000	0.0000	0.0000	0.0000
kman	PREFLOP	LOW	HIGH	0.2308	0.7692	0.1538	0.3077	0.0327	0.0472	0.0000	0.0000	0.0000
kman	FLOP	HIGH	MEDIUM	0.5833	0.0208	0.1875	0.0208	0.0410	0.0467	0.0000	0.2083	0.0269
kman	RIVER	HIGH	LOW	0.9000	0.0000	0.1000	0.0000	0.0823	0.0000	0.0000	0.0000	0.0000
kman	FLOP	MEDIUM	MEDIUM	0.5484	0.0968	0.2581	0.0000	0.0098	0.0041	0.0000	0.1290	0.0384
kman	PREFLOP	LOW	LOW	0.1043	0.3220	0.0703	0.0862	0.0217	0.0309	0.0000	0.6440	0.0204
kman	RIVER	LOW	LOW	0.6500	0.1000	0.1500	0.0500	0.0228	0.0231	0.0000	0.0500	0.0175
kman	TURN	MEDIUM	LOW	0.5238	0.1905	0.1905	0.0000	0.0238	0.0112	0.0000	0.0952	0.0078
kman	FLOP	HIGH	HIGH	0.6000	0.3000	0.0000	0.1000	0.1993	0.1068	0.0000	0.0000	0.0000
deadhead	TURN	MEDIUM	MEDIUM	0.3636	0.0909	0.5455	0.0000	0.0207	0.0086	0.0000	0.0000	0.0000
deadhead	FLOP	HIGH	MEDIUM	0.5714	0.2143	0.0714	0.0714	0.0284	0.0226	0.0000	0.1429	0.0511
deadhead	FLOP	MEDIUM	MEDIUM	0.4167	0.2500	0.1667	0.0833	0.0096	0.0029	0.0000	0.1667	0.0073
deadhead	PREFLOP	LOW	LOW	0.0380	0.4177	0.3165	0.3165	0.0074	0.0112	0.0000	0.3544	0.0243
crazieer	PREFLOP	LOW	LOW	0.0435	0.4348	0.3913	0.0435	0.0233	0.0291	0.0000	0.4783	0.0158
apack	PREFLOP	LOW	MEDIUM	0.3000	0.5000	0.2000	0.1000	0.0651	0.0723	0.0000	0.2000	0.0117
apack	FLOP	HIGH	MEDIUM	0.3077	0.2308	0.1538	0.0000	0.0365	0.0194	0.0000	0.3077	0.0762
apack	PREFLOP	LOW	LOW	0.0660	0.3396	0.2075	0.1509	0.0217	0.0351	0.0000	0.5755	0.0182
Zero1	PREFLOP	LOW	LOW	0.0000	0.0769	0.0769	0.0769	0.0145	0.0163	0.0000	0.8462	0.0117
_web	PREFLOP	LOW	HIGH	0.1429	0.7857	0.3571	0.2143	0.0356	0.0270	0.0000	0.0000	0.0000
_web	PREFLOP	LOW	LOW	0.0455	0.3182	0.2045	0.1364	0.0162	0.0363	0.0000	0.5682	0.0189
RootAcct	PREFLOP	LOW	LOW	0.0000	0.1667	0.0833	0.0000	0.0049	0.0050	0.0000	0.9167	0.0131
wahl	PREFLOP	LOW	MEDIUM	0.0000	0.7500	0.5833	0.1667	0.0342	0.0582	0.0000	0.2500	0.0562
wahl	PREFLOP	LOW	LOW	0.0638	0.3191	0.3830	0.1277	0.0328	0.0693	0.0000	0.4255	0.0161
dingbat	FLOP	LOW	MEDIUM	0.6000	0.1000	0.1000	0.0000	0.0037	0.0008	0.0000	0.2000	0.0016
dingbat	FLOP	HIGH	LOW	0.3636	0.2727	0.0909	0.0000	0.0282	0.0089	0.0000	0.2727	0.0173
dingbat	TURN	LOW	LOW	0.6667	0.2500	0.0000	0.0833	0.0077	0.0056	0.0000	0.0833	0.0055
dingbat	PREFLOP	LOW	HIGH	0.2308	0.6154	0.1154	0.2692	0.5322	2.2775	0.0000	0.1154	0.0606
dingbat	FLOP	HIGH	MEDIUM	0.4333	0.2667	0.1000	0.0000	0.0365	0.0188	0.0000	0.2000	0.0171
dingbat	RIVER	LOW	LOW	0.6667	0.0556	0.1667	0.0000	0.0295	0.0201	0.0000	0.1111	0.0092
dingbat	PREFLOP	LOW	MEDIUM	0.0278	0.5278	0.2500	0.2222	0.0278	0.0343	0.0000	0.3889	0.0279
dingbat	FLOP	MEDIUM	MEDIUM	0.5000	0.2692	0.0769	0.0385	0.0104	0.0055	0.0000	0.1154	0.0120
dingbat	PREFLOP	LOW	LOW	0.0764	0.3754	0.1894	0.1063	0.0123	0.0259	0.0000	0.5615	0.0151
dingbat	FLOP	HIGH	HIGH	0.5714	0.2143	0.0714	0.0714	0.0587	0.0435	0.0000	0.0714	0.0541
painus	PREFLOP	LOW	LOW	0.0000	0.1818	0.0000	0.1818	0.0426	0.0376	0.0000	0.8182	0.0262
Sneaux	FLOP	HIGH	LOW	0.5000	0.1000	0.3000	0.0000	0.0425	0.0170	0.0000	0.1000	0.0133
Sneaux	PREFLOP	LOW	MEDIUM	0.1111	0.7037	0.5556	0.0741	0.0364	0.0428	0.0000	0.1481	0.0485
Sneaux	PREFLOP	LOW	HIGH	0.0714	0.7857	0.6429	0.1429	0.0717	0.0940	0.0000	0.0714	0.0917
Sneaux	FLOP	HIGH	MEDIUM	0.6000	0.2000	0.3000	0.0000	0.0538	0.0348	0.0000	0.0000	0.0000
Sneaux	PREFLOP	LOW	LOW	0.0682	0.3409	0.2386	0.1364	0.0255	0.0517	0.0000	0.5114	0.0248
Sneaux	FLOP	HIGH	HIGH	0.8462	0.0000	0.1538	0.0000	0.0905	0.0475	0.0000	0.0000	0.0000
sippy	PREFLOP	LOW	LOW	0.0379	0.2576	0.1061	0.1894	0.0137	0.0197	0.0000	0.6667	0.0148
alex	FLOP	HIGH	LOW	0.6364	0.1818	0.0909	0.0909	0.0131	0.0049	0.0000	0.0909	0.0265
